Author Name,Author Address,Author URL
J.R.R.Tolkien,New York,tolkien_writes.com
Harper Lee,Delhi,lee_writes.com
Rabindranath Tagore,Bihar,tagore_writes.com
Douglas Adams,Chennai,adama_writes.com
Hanan Al-Shayakh,Uttar Pradesh,hanan_writes.com
Johann Wolfgang von Goethe,Gurgaon,johann_writes.com
Salman Rushdie,Noida,rushdie_writes.com
Evelyn Waugh,Pahadganj,waugh_writes.com
Daniel Defoe,Ballabhgarh,defoe_writes.com
Virginia Woolf,Hyderabad,woolf_writes.com
J.M. Coetzee,Maharajpur,coetzee_writes.com
Charlotte Bronte,Mandi,bronte_writes.com
Marcek Proust,Llanfairpwllgwyngyll,proust_writes.com
Joseph Conrad,Jodhpur,conrad_writes.com
Henry James,Lucknow,james_writes.com
Leo Tolstoy,Hongkog,tolstory_writes.com
Herman Melville,Iceland,melville_writes.com
